experiment,condition,method,dataset,R2,R2_SE,RMSE_RANGE,RMSE_RANGE_SE,MAE_RANGE,MAE_RANGE_SE,QICE,QICE_SE,NMPIW,NMPIW_SE,source_json,uncertainty_json,source_note
ex2_rows200_scaling,1.5M,nanoTabPFN,cpu_activity,0.9082119916,0.009704117944,0.06122407532,0.007215453184,0.03160290747,0.002399013922,0.025,0.004774934555,0.7700501024,0.05758579346,nanoTabPFN_version10_original02/1.5M/model_step_0120000_rows200_bins10_eval.json,nanoTabPFN_version10_original02/1.5M/model_step_0120000_rows200_bins10_eval.json,
ex2_rows200_scaling,1.5M,nanoTabPFN,energy_efficiency,0.9678519901,0.002336963495,0.05559273707,0.002902245857,0.04353476191,0.001743236395,0.042,0.003286335345,0.6555202295,0.0274449721,nanoTabPFN_version10_original02/1.5M/model_step_0120000_rows200_bins10_eval.json,nanoTabPFN_version10_original02/1.5M/model_step_0120000_rows200_bins10_eval.json,
ex2_rows200_scaling,1.5M,nanoTabPFN,grid_stability,0.7310292007,0.03231386245,0.136380457,0.00701260912,0.1093922171,0.006612210111,0.049,0.001414213562,2.48579301,0.03934114138,nanoTabPFN_version10_original02/1.5M/model_step_0120000_rows200_bins10_eval.json,nanoTabPFN_version10_original02/1.5M/model_step_0120000_rows200_bins10_eval.json,
ex2_rows200_scaling,1.5M,nanoTabPFN,kin8nm,0.316207921,0.02940104772,0.2027644185,0.005584856914,0.165865632,0.005633683186,0.021,0.003033150178,2.896211883,0.106521932,nanoTabPFN_version10_original02/1.5M/model_step_0120000_rows200_bins10_eval.json,nanoTabPFN_version10_original02/1.5M/model_step_0120000_rows200_bins10_eval.json,
ex2_rows200_scaling,1.5M,nanoTabPFN,Moneyball,0.9161302749,0.01362088081,0.06464432598,0.005218841921,0.05150149748,0.004186017316,0.025,0.004,1.180794354,0.06681549082,nanoTabPFN_version10_original02/1.5M/model_step_0120000_rows200_bins10_eval.json,nanoTabPFN_version10_original02/1.5M/model_step_0120000_rows200_bins10_eval.json,
ex2_rows200_scaling,1.5M,nanoTabPFN,pumadyn32nh,-0.0004534045133,0.009756169316,0.2137420034,0.007378670181,0.1716795857,0.006743514094,0.009,0.004979959839,3.327896595,0.2882858192,nanoTabPFN_version10_original02/1.5M/model_step_0120000_rows200_bins10_eval.json,nanoTabPFN_version10_original02/1.5M/model_step_0120000_rows200_bins10_eval.json,
ex2_rows200_scaling,1.5M,nanoTabPFN,QSAR_fish_toxicity,0.4936456658,0.04801558065,0.1450891381,0.00586789328,0.1028557081,0.004793179181,0.026,0.005215361924,2.532478124,0.2218090695,nanoTabPFN_version10_original02/1.5M/model_step_0120000_rows200_bins10_eval.json,nanoTabPFN_version10_original02/1.5M/model_step_0120000_rows200_bins10_eval.json,
ex2_rows200_scaling,1.5M,nanoTabPFN,quake,-0.3558920036,0.1162737091,0.3110760586,0.01650305501,0.2321684493,0.01450567745,0.06,0.003898717738,2.619469644,0.2680974186,nanoTabPFN_version10_original02/1.5M/model_step_0120000_rows200_bins10_eval.json,nanoTabPFN_version10_original02/1.5M/model_step_0120000_rows200_bins10_eval.json,
ex2_rows200_scaling,1.5M,nanoTabPFN,sensory,0.003609662901,0.01658061552,0.2452686116,0.009793981449,0.1935496481,0.01050775768,0.043,0.003898717738,2.796889282,0.1836665652,nanoTabPFN_version10_original02/1.5M/model_step_0120000_rows200_bins10_eval.json,nanoTabPFN_version10_original02/1.5M/model_step_0120000_rows200_bins10_eval.json,
ex2_rows200_scaling,1.5M,nanoTabPFN,socmob,0.3147844683,0.07686735036,0.1519716093,0.01891253402,0.05248613258,0.01327160982,0.044,0.004335896678,0.6683232167,0.1254347657,nanoTabPFN_version10_original02/1.5M/model_step_0120000_rows200_bins10_eval.json,nanoTabPFN_version10_original02/1.5M/model_step_0120000_rows200_bins10_eval.json,
