experiment,condition,method,dataset,R2,R2_SE,RMSE_RANGE,RMSE_RANGE_SE,MAE_RANGE,MAE_RANGE_SE,QICE,QICE_SE,NMPIW,NMPIW_SE,source_json,uncertainty_json,source_note
ex4_ddim_steps_ddpm500,rows200,TabICL_6M_DDIM50_repeats100,energy_efficiency,0.981902399,0.005611751583,0.03964074376,0.005182421186,0.02523188339,0.002585189534,0.059,0.00219089023,0.2015833458,0.02032091586,TabICL_regression03/runs/6M/DDIM/step-120000_ddim50_rows200_repeats100_adaptive_parallel100_5fold.json,TabICL_regression03/runs/6M/DDIM/step-120000_ddim50_rows200_repeats100_adaptive_parallel100_5fold_bins10-uncertainty.json,
ex4_ddim_steps_ddpm500,rows200,TabICL_6M_DDIM50_repeats100,grid_stability,0.7917175053,0.02112449966,0.1204037113,0.004822903424,0.09407841955,0.004079637428,0.018,0.006418722614,1.487237558,0.03391061433,TabICL_regression03/runs/6M/DDIM/step-120000_ddim50_rows200_repeats100_adaptive_parallel100_5fold.json,TabICL_regression03/runs/6M/DDIM/step-120000_ddim50_rows200_repeats100_adaptive_parallel100_5fold_bins10-uncertainty.json,
ex4_ddim_steps_ddpm500,rows200,TabICL_6M_DDIM50_repeats100,kin8nm,0.3967776993,0.0505577399,0.1909962884,0.01290921393,0.1480978365,0.0098036287,0.017,0.00316227766,2.230253384,0.123143826,TabICL_regression03/runs/6M/DDIM/step-120000_ddim50_rows200_repeats100_adaptive_parallel100_5fold.json,TabICL_regression03/runs/6M/DDIM/step-120000_ddim50_rows200_repeats100_adaptive_parallel100_5fold_bins10-uncertainty.json,
ex4_ddim_steps_ddpm500,rows200,TabICL_6M_DDIM50_repeats100,Moneyball,0.9341370917,0.009579455088,0.0577812261,0.004306682044,0.04489200387,0.003414163778,0.024,0.00593295879,0.6388989513,0.04010850914,TabICL_regression03/runs/6M/DDIM/step-120000_ddim50_rows200_repeats100_adaptive_parallel100_5fold.json,TabICL_regression03/runs/6M/DDIM/step-120000_ddim50_rows200_repeats100_adaptive_parallel100_5fold_bins10-uncertainty.json,
ex4_ddim_steps_ddpm500,rows200,TabICL_6M_DDIM50_repeats100,pumadyn32nh,0.1433708252,0.01881676228,0.1976422628,0.006464223101,0.1612358397,0.006418011369,0.016,0.002966479395,2.983745054,0.2229195483,TabICL_regression03/runs/6M/DDIM/step-120000_ddim50_rows200_repeats100_adaptive_parallel100_5fold.json,TabICL_regression03/runs/6M/DDIM/step-120000_ddim50_rows200_repeats100_adaptive_parallel100_5fold_bins10-uncertainty.json,
ex4_ddim_steps_ddpm500,rows200,TabICL_6M_DDIM50_repeats100,QSAR_fish_toxicity,0.5044337571,0.05884239868,0.1430739143,0.007613002271,0.1017644324,0.004473825754,0.021,0.001788854382,1.600447049,0.1079802556,TabICL_regression03/runs/6M/DDIM/step-120000_ddim50_rows200_repeats100_adaptive_parallel100_5fold.json,TabICL_regression03/runs/6M/DDIM/step-120000_ddim50_rows200_repeats100_adaptive_parallel100_5fold_bins10-uncertainty.json,
ex4_ddim_steps_ddpm500,rows200,TabICL_6M_DDIM50_repeats100,quake,-0.06001374629,0.007933297116,0.2769423072,0.01154216762,0.2226372236,0.01113020835,0.03,0.0045607017,2.683846801,0.1873701087,TabICL_regression03/runs/6M/DDIM/step-120000_ddim50_rows200_repeats100_adaptive_parallel100_5fold.json,TabICL_regression03/runs/6M/DDIM/step-120000_ddim50_rows200_repeats100_adaptive_parallel100_5fold_bins10-uncertainty.json,
ex4_ddim_steps_ddpm500,rows200,TabICL_6M_DDIM50_repeats100,sensory,0.06409748822,0.0417821385,0.2379092274,0.01253675221,0.1891157324,0.01112289563,0.029,0.007014271167,2.824054525,0.2366278148,TabICL_regression03/runs/6M/DDIM/step-120000_ddim50_rows200_repeats100_adaptive_parallel100_5fold.json,TabICL_regression03/runs/6M/DDIM/step-120000_ddim50_rows200_repeats100_adaptive_parallel100_5fold_bins10-uncertainty.json,
ex4_ddim_steps_ddpm500,rows200,TabICL_6M_DDIM50_repeats100,socmob,0.7447767813,0.0840939475,0.08972822639,0.02132088649,0.03813878878,0.01118884015,0.081,0.008414273587,0.3593544665,0.07338265608,TabICL_regression03/runs/6M/DDIM/step-120000_ddim50_rows200_repeats100_adaptive_parallel100_5fold.json,TabICL_regression03/runs/6M/DDIM/step-120000_ddim50_rows200_repeats100_adaptive_parallel100_5fold_bins10-uncertainty.json,
ex4_ddim_steps_ddpm500,rows200,TabICL_6M_DDIM50_repeats100,space_ga,0.5883406435,0.04719976193,0.1502860486,0.009378112238,0.1146243752,0.01126894861,0.017,0.006066300355,1.67242784,0.1090203558,TabICL_regression03/runs/6M/DDIM/step-120000_ddim50_rows200_repeats100_adaptive_parallel100_5fold.json,TabICL_regression03/runs/6M/DDIM/step-120000_ddim50_rows200_repeats100_adaptive_parallel100_5fold_bins10-uncertainty.json,
ex4_ddim_steps_ddpm500,rows200,TabICL_6M_DDIM50_repeats100,student_performance,0.05860817796,0.05582988626,0.1939126334,0.0119911004,0.1396642843,0.0119437004,0.016,0.006542170894,2.418931311,0.1018034341,TabICL_regression03/runs/6M/DDIM/step-120000_ddim50_rows200_repeats100_adaptive_parallel100_5fold.json,TabICL_regression03/runs/6M/DDIM/step-120000_ddim50_rows200_repeats100_adaptive_parallel100_5fold_bins10-uncertainty.json,
ex4_ddim_steps_ddpm500,rows200,TabICL_6M_DDIM100_repeats100,abalone,0.4912550633,0.03722628741,0.1723519844,0.00503290361,0.1277069371,0.005084680848,0.021,0.004,1.845651579,0.07653329962,TabICL_regression03/runs/6M/DDIM/step-120000_ddim100_rows200_repeats100_adaptive_parallel100_5fold.json,TabICL_regression03/runs/6M/DDIM/step-120000_ddim100_rows200_repeats100_adaptive_parallel100_5fold_bins10-uncertainty.json,
ex4_ddim_steps_ddpm500,rows200,TabICL_6M_DDIM100_repeats100,airfoil_self_noise,0.6990233875,0.04106094026,0.1247738528,0.008231496864,0.08934284349,0.006381666421,0.024,0.0045607017,1.54639489,0.05347648673,TabICL_regression03/runs/6M/DDIM/step-120000_ddim100_rows200_repeats100_adaptive_parallel100_5fold.json,TabICL_regression03/runs/6M/DDIM/step-120000_ddim100_rows200_repeats100_adaptive_parallel100_5fold_bins10-uncertainty.json,
ex4_ddim_steps_ddpm500,rows200,TabICL_6M_DDIM100_repeats100,auction_verification,0.8860397987,0.02482351903,0.1002543339,0.01318384948,0.04852854662,0.006410858418,0.06,0.008,0.4223237055,0.03067202265,TabICL_regression03/runs/6M/DDIM/step-120000_ddim100_rows200_repeats100_adaptive_parallel100_5fold.json,TabICL_regression03/runs/6M/DDIM/step-120000_ddim100_rows200_repeats100_adaptive_parallel100_5fold_bins10-uncertainty.json,
ex4_ddim_steps_ddpm500,rows200,TabICL_6M_DDIM100_repeats100,boston,0.8470341292,0.02915021259,0.08984627246,0.01043054095,0.06068797045,0.004989134194,0.028,0.006099180273,0.7768775448,0.0598574304,TabICL_regression03/runs/6M/DDIM/step-120000_ddim100_rows200_repeats100_adaptive_parallel100_5fold.json,TabICL_regression03/runs/6M/DDIM/step-120000_ddim100_rows200_repeats100_adaptive_parallel100_5fold_bins10-uncertainty.json,
ex4_ddim_steps_ddpm500,rows200,TabICL_6M_DDIM100_repeats100,cars,0.9140847088,0.01513265001,0.06837407811,0.006694397848,0.04571976716,0.004443472161,0.03,0.003741657387,0.5759011305,0.04820356749,TabICL_regression03/runs/6M/DDIM/step-120000_ddim100_rows200_repeats100_adaptive_parallel100_5fold.json,TabICL_regression03/runs/6M/DDIM/step-120000_ddim100_rows200_repeats100_adaptive_parallel100_5fold_bins10-uncertainty.json,
ex4_ddim_steps_ddpm500,rows200,TabICL_6M_DDIM100_repeats100,concrete_compressive_strength,0.8095781647,0.02655462697,0.1078161156,0.004870067086,0.08195882683,0.003483382119,0.02,0.004098780306,1.228990868,0.09187181761,TabICL_regression03/runs/6M/DDIM/step-120000_ddim100_rows200_repeats100_adaptive_parallel100_5fold.json,TabICL_regression03/runs/6M/DDIM/step-120000_ddim100_rows200_repeats100_adaptive_parallel100_5fold_bins10-uncertainty.json,
